Species,Name/Accession,Collection Site,Cultivation Zone,Elevation (MASL),circadian average,circadian st dev,circadian min,circadian max,mean lesion,min lesion,max lesion,total glycoalkaloid,starch content,stolon type,flower color,habit,landrace 2x,landrace 4x
S. ehrenbergii,PI 275216*,3,120.5666667,2050,,,,,7.133333333,1,13,6,,2,3,2,0.2,0.2
S. jamesii,PI 458424*,3,142.3833334,2150,,,,,8.975,5,9,128,23.1,2,2,2,0.2,0.2
S. raphanifolium,PI 296126,0,58.46666666,3520,20.16375,0.568429855,19.19,21,6.325,1,11,45,,2,0,1,2.216,1.804
S. medians,PI 265872,0,65.21666663,3000,20.845,0.080482917,20.42,21.26,,,,7.7,,2,1,2,1.959,1.804
S. brevicaule leptophyes,PI 545987,1,48.35,3680,21.02,0.311126984,20.8,0.357,2.328571429,1,10,42,,2,1,2,0.307,1.403
S. brevicaule,PI 498112,1,48.83333333,3730,,,,,2.328571429,1,10,33.5,,2,1,2,0.287,1.002
S. brevicaule sparsipilum,PI 473385,0,58.61666666,2850,20.81666667,0.278472021,20.38,21.25,4.7,1,12,96.16666667,19.6,2,1,2,0.248,2.807
S. chacoense,PI 275139,2,40.59999997,1650,24.625,0.045482597,23.88,25.43,5.225,1,14,28.66666667,24.1,2,2,2,0.356,0.902
S. berthaultii,PI 458365,2,42.63333333,2250,25.9025,1.650239882,24.13,28.07,,,,1,14.2,2,3,2,0.317,0.702
S. kurtzianum,PI 498359,2,39.43333334,2800,25.15,2.210389106,21.19,28.52,7.225,1,14,19,,2,2,2,0.228,0.2
S. commersonii,PI 558050,2,,,22.915,0.403050865,22.63,23.2,3.175,1,10,23,19.6,2,0,1,0.331,0.2
