Species,Name/Accession,Collection Site,Cultivation Zone,Elevation (MASL),circadian average,circadian st dev,circadian min,circadian max,mean lesion,min lesion,max lesion,total glycoalkaloid,starch content,stolon type,flower color,habit,landrace 2x,landrace 4x
S. berthaultii,PI 458365,2,42.63333333,2250,25.9025,1.650239882,24.13,28.07,,,,1,14.2,2,3,2,0.317,0.702
S. boliviense,PI 545964,1,45.9666667,3200,21.025,0.13820275,20.85,21.18,5.06,1,12,,,2,0,1,0.277,0.2
S. boliviense megistracrolobum,PI 546000,1,45.2833333,3350,19.055,1.888853268,17.21,21.66,4.7,1,13,,17,2,0,1,0.317,0.401
S. brevicaule,PI 498112,1,48.83333333,3730,,,,,2.328571429,1,10,33.5,,2,1,2,0.287,1.002
S. brevicaule gourlayi,PI 473065,2,41.65,3900,21.092,0.966421233,20.24,22.66,8.6,4,9,,14.2,2,1,2,0.258,0.301
S. brevicaule leptophyes,PI 545987,1,48.35,3680,21.02,0.311126984,20.8,0.357,2.328571429,1,10,42,,2,1,2,0.307,1.403
S. brevicaule sparsipilum,PI 473385,0,58.61666666,2850,20.81666667,0.278472021,20.38,21.25,4.7,1,12,96.16666667,19.6,2,1,2,0.248,2.807
S. brevicaule spegazzinii,PI 472978,2,41.16666666,2600,22.27,0.83,21.34,23.34,8.6,4,9,,19.1,2,1,2,0.277,0.301
S. candolleanum,PI 265863,0,54.20000033,4000,21.6725,0.95990885,21.02,23.1,,,,,,2,0,2,4.433,7.418
S. chacoense,PI 275139,2,40.59999997,1650,24.625,0.045482597,23.88,25.43,5.225,1,14,28.66666667,24.1,2,2,2,0.356,0.902
S. chomatophilum,PI 365339*,0,65.06666667,3550,,,,,5,1,9,,,1,0,2,,
S. commersonii,PI 558050,2,,,22.915,0.403050865,22.63,23.2,3.175,1,10,23,19.6,2,0,1,0.331,0.2
S. ehrenbergii,PI 275216*,3,120.5666667,2050,,,,,7.133333333,1,13,6,,2,3,2,,
S. etuberosum,PI 558288*,2,35.9,1540,,,,,,,,,,0,0,0,,
S. infundibuliforme,PI 458324,2,41.95,3100,21.05,2.518243435,17.9,24.74,8.475,1,12,,18.8,2,3,2,0.277,0.401
S. jamesii,PI 458424*,3,142.3833334,2150,,,,,8.975,5,9,128,23.1,2,2,2,,
S. kurtzianum,PI 498359,2,39.43333334,2800,25.15,2.210389106,21.19,28.52,7.225,1,14,19,,2,2,2,0.228,0.2
S. medians,PI 265872,0,65.21666663,3000,20.845,0.080482917,20.42,21.26,,,,7.7,,2,1,2,1.959,1.804
S. microdontum,PI 458355,2,41.5,2700,22.72833333,0.725545772,21.84,23.56,,,,,13.8,2,2,1,0.277,1.203
S. okadae,PI 458368,2,40.68333333,2740,24.105,2.640915245,22.58,28.06,,,,,,2,2,2,0.251,0.301
S. raphanifolium,PI 296126,0,58.46666666,3520,20.16375,0.568429855,19.19,21,6.325,1,11,45,,2,0,1,2.216,1.804
S. vernei,PI 473305,2,41.4666667,3200,21.365,0.263628527,21.06,21.68,,,,,16.3,2,0,2,0.268,0.301
S. verrucosum,PI 275260*,2,,2700,,,,,3.58,1,14,,17.2,2,0,2,,
